Tipo de Registro;Nº NFS-e;Data Hora NFE;Código de Verificação da NFS-e;Tipo de RPS;Série do RPS;Número do RPS;Data de Emissão do RPS;Inscrição Municipal do Prestador;Indicador de CPF/CNPJ do Prestador;CPF/CNPJ do Prestador;Razão Social do Prestador;Tipo do Endereço do Prestador;Endereço do Prestador;Número do Endereço do Prestador;Complemento do Endereço do Prestador;Bairro do Prestador;Cidade do Prestador;UF do Prestador;CEP do Prestador;Email do Prestador;Opção Pelo Simples;Situação da Nota Fiscal;Data de Cancelamento;Nº da Guia;Data de Quitação da Guia Vinculada a Nota Fiscal;Valor dos Serviços;Valor das Deduções;Código do Serviço Prestado na Nota Fiscal;Alíquota;ISS devido;Valor do Crédito;ISS Retido;PIS;COFINS;INSS;IRPJ;CSLL;Indicador de CPF/CNPJ do Tomador;CPF/CNPJ do Tomador;Inscrição Municipal do Tomador;Inscrição Estadual do Tomador;Razão Social do Tomador;Tipo do Endereço do Tomador;Endereço do Tomador;Número do Endereço do Tomador;Complemento do Endereço do Tomador;Bairro do Tomador;Cidade do Tomador;UF do Tomador;CEP do Tomador;Email do Tomador;Discriminação dos Serviços
2;8662;31/07/2026 16:49:17;4BZAJN4I;RPS;1;8649;31/07/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;;;14.621,56;0,00;421;3,00;438,65;0,00;N;0,00;0,00;0,00;0,00;0,00;2;15.011.651/0001-54;;;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;;AV PAULISTA;1450;AND. 10 T PTA NA. SEC;BELA VISTA;São Paulo;SP;01310-917;DEPENDENCIA@BRADESCOSEGUROS.COM.BR;HONORARIOS DE SERVICOS MEDICOS
2;8661;30/07/2026 15:51:22;FS3X46PD;RPS;1;8648;30/07/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;;;733.614,57;0,00;421;3,00;22.008,44;0,00;N;4.768,49;22.008,44;0,00;11.004,22;7.336,15;2;39.427.632/0001-71;;;ASSOCIAÇÃO PETROBRAS DE SAÚDE;AV;República do Chile;65;SAL 302 - CENTRO;Centro;Rio de Janeiro;RJ;20031-170;paulo.barbosa@saudepetrobras.com.br;HONORARIOS DE SERVICOS MEDICOS
2;8660;28/07/2026 16:00:19;XSJNPMUQ;RPS;1;8647;28/07/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;;;8,80;0,00;421;3,00;0,26;0,00;N;0,06;0,26;0,00;0,13;0,09;2;02.812.468/0001-06;;;CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRA;R;Frei Caneca;1355;Andar 8 9 10 11 1214 15 16;Consolação;São Paulo;SP;01307-003;eq.tributaria@centralnacionalunimed.com.br;Honorarios de servicos medicos
2;8659;28/07/2026 15:51:46;FPJDF6EJ;RPS;1;8646;28/07/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;;;83.120,34;0,00;421;3,00;2.493,61;0,00;N;540,28;2.493,61;0,00;1.246,81;831,20;2;02.812.468/0001-06;;;CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRA;R;Frei Caneca;1355;Andar 8 9 10 11 1214 15 16;Consolação;São Paulo;SP;01307-003;eq.tributaria@centralnacionalunimed.com.br;Honorarios de servicos medicos
2;8658;28/07/2026 09:31:41;NLDM1HVC;RPS;1;8645;28/07/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;;;27.152,57;0,00;421;3,00;814,58;0,00;N;0,00;0,00;0,00;0,00;0,00;2;92.693.118/0001-60;;;BRADESCO SAUDE S/A;AV;Rio de Janeiro;555;19º andar;Caju;Rio de Janeiro;RJ;20931-675;contfiscal@bradescoseguros.com.br;HONORARIOS DE SERVICOS MEDICOS
2;8657;27/07/2026 17:28:53;XDY6LTI5;RPS;1;8644;27/07/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;;;1.511,36;0,00;421;3,00;45,34;0,00;N;0,00;0,00;0,00;0,00;0,00;2;15.011.651/0001-54;;;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;;AV PAULISTA;1450;AND. 10 T PTA NA. SEC;BELA VISTA;São Paulo;SP;01310-917;DEPENDENCIA@BRADESCOSEGUROS.COM.BR;HONORARIOS DE SERVICOS MEDICOS
2;8656;27/07/2026 17:24:26;6GXBJFHQ;RPS;1;8643;27/07/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;;;194.037,67;0,00;421;3,00;5.821,13;0,00;N;0,00;0,00;0,00;0,00;0,00;2;92.693.118/0001-60;;;BRADESCO SAUDE S/A;AV;Rio de Janeiro;555;19º andar;Caju;Rio de Janeiro;RJ;20931-675;contfiscal@bradescoseguros.com.br;HONORARIOS DE SERVICOS MEDICOS
2;8655;24/07/2026 15:33:19;VRACQ3HN;RPS;1;8642;24/07/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;;;11.736,34;0,00;421;3,00;352,09;0,00;N;0,00;0,00;0,00;0,00;0,00;2;15.011.651/0001-54;;;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;;AV PAULISTA;1450;AND. 10 T PTA NA. SEC;BELA VISTA;São Paulo;SP;01310-917;DEPENDENCIA@BRADESCOSEGUROS.COM.BR;HONORARIOS DE SERVICOS MEDICOS
2;8654;24/07/2026 15:23:37;3GHDN4XR;RPS;1;8641;24/07/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;;;217.809,17;0,00;421;3,00;6.534,28;0,00;N;0,00;0,00;0,00;0,00;0,00;2;92.693.118/0001-60;;;BRADESCO SAUDE S/A;AV;Rio de Janeiro;555;19º andar;Caju;Rio de Janeiro;RJ;20931-675;contfiscal@bradescoseguros.com.br;HONORARIOS DE SERVICOS MEDICOS
2;8653;23/07/2026 09:52:16;CJ9VICRH;RPS;1;8638;23/07/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;;;29.890,93;0,00;421;3,00;896,73;0,00;S;194,29;0,00;0,00;448,36;298,91;2;13.100.755/0001-00;00.174.607/001-84;;ASSOCIACAO DOS PROFESSORES UNIVERSITARIOS DA BAHIA - APUB SAUDE;Ave;Antônio Carlos Magalhães;3213;SALA  405 406 407 E408;BROTAS;Salvador;BA;40280-901;faturamento@apubsaude.com.br;HONORARIOS DE SERVICOS MEDICOS
